Position	Character	Player	Time	Time (array)	Speedrun video:	Post date (dd/mm/yyyy)
1	Zero	P1ke	00:59	59,00	https://www.youtube.com/watch?v=9r9UeTPPgSk	05/03/2026
2	Ronan	Syntaxii	01:05	65,00	https://www.youtube.com/watch?v=cKw1nnhZXFA	28/03/2026
3	Elesis	sangpill	01:07	67,00	https://www.youtube.com/watch?v=sxRbr_yTDWs	23/03/2026
4	Ai	azathoth	01:11	71,00	https://www.youtube.com/watch?v=dksGRkA9y7c	01/04/2026
5	Jin	azathoth	01:12	72,00	https://www.youtube.com/watch?v=gKowBj1JyoA	18/10/2025
6	Ryan	Kaiser	01:15	75,00	https://www.youtube.com/watch?v=VpeTwIfGXvY	25/03/2026
7	Dio	Syntaxii	01:17	77,00	https://www.youtube.com/watch?v=GoU29XSrydo	31/03/2026
8	Iris	Borkaz	01:18	78,00	https://www.youtube.com/watch?v=tQ1pSPCFnlQ	27/03/2026
9	Edel	azathoth	01:21	81,00	https://www.youtube.com/watch?v=fdemTyjM85s	01/04/2026
10	Kallia	Rosa	01:22	82,00	https://www.youtube.com/watch?v=h9tfC2qD03E	02/04/2026
11	Lire	soup	01:24	84,00	https://www.youtube.com/watch?v=baqRsFkiG_w	18/02/2026
11	Arme	GCLabs	01:24	84,00	https://www.youtube.com/watch?v=aOWTYyRgamw	29/03/2026
11	Lass	Choco	01:24	84,00	https://www.youtube.com/watch?v=kVDb7ccB7cA	06/03/2026
14	Sieghart	Prolapsador	01:29	89,00	https://www.youtube.com/watch?v=C8WX3Oi8CNE	24/10/2025
14	Rufus/Lupus	XX	01:29	89,00	https://www.youtube.com/watch?v=ma3-J7KPVbo	27/03/2026
16	Ley/Rey	Hoey Ryoon	01:36	96,00	https://www.youtube.com/watch?v=48lP0LIZvbc	10/02/2026
17	L-Rin	Borkaz	01:38	98,00	https://www.youtube.com/watch?v=V8KayracXzk	25/03/2026
17	Asin	CrazyMagic	01:38	98,00	https://www.youtube.com/watch?v=r5JfKqrjxjM	19/01/2026
19	Lime/Holy	LimeLimonada	01:42	102,00	https://www.youtube.com/watch?v=l62fUQZ0KFA	25/03/2026
20	Decanee	Patata	01:55	115,00	https://www.youtube.com/watch?v=2A1doO0Lino	03/04/2026
21	Mari	Thehighest	01:56	116,00	https://www.youtube.com/watch?v=gBKPPDkIFF0	04/05/2025
22	Amy	fatejj	02:05	125,00	https://www.youtube.com/watch?v=ByKXCMi3JvQ	04/10/2025
23  D-Rin					
24	Veigas					
25	Uno					
