Position	Character	Player	Time	Time (array)	Speedrun video:	"Post date (dd/mm/yyyy)
"
1	Mari	Syntaxii	02:24	144,00	https://www.youtube.com/watch?v=ZZm8IXKreW8	25/03/2026
2	Elesis	sangpill	02:26	146,00	https://www.youtube.com/watch?v=_yVj_xrzGao	27/03/2026
3	Jin	azathoth	02:28	148,00	https://www.youtube.com/watch?v=uZsHRprtd70	19/10/2025
4	Dio	Suv	02:39	159,00	https://www.youtube.com/watch?v=034MuwP3DJ8	30/03/2026
5	Ryan	meaninglessspider	02:45	165,00	https://www.youtube.com/watch?v=uqGu5zG1wH4	26/03/2026
6	Ronan	Aresius	02:47	167,00	https://www.youtube.com/watch?v=6mtoL0Wl360	25/03/2026
7	Lass	Choco	02:54	174,00	https://www.youtube.com/watch?v=kc1nB92FH2s	12/03/2026
7	Zero	P1ke	02:54	174,00	https://www.youtube.com/watch?v=e-ofsPWZFkA	22/05/2025
9	Asin	CrazyMagic	02:58	178,00	https://www.youtube.com/watch?v=FOGGQdt2cq8	29/01/2026
10	Lime/Holy	LimeLimonada	03:11	191,00	https://www.youtube.com/watch?v=C3RiYB1LHF0	25/03/2026
11	Sieghart	Prolapsador	03:15	195,00	https://www.youtube.com/watch?v=uMCj3Clqh3U	24/10/2025
12	Rufus/Lupus	XX	03:34	214,00	https://www.youtube.com/watch?v=npxoGVq3IwY	19/01/2026
13	Arme	GCLabs	03:49	229,00	https://www.youtube.com/watch?v=sZu_qYEmJbU	24/02/2025
14	Decanee	Patata	04:11	251,00	https://www.youtube.com/watch?v=EaWAMB7xypw	02/04/2026
	Lire					
	Amy					
	Ley/Rey					
	D-Rin					
	L-Rin					
	Edel					
	Veigas					
	Ai					
	Kallia					
	Uno					
	Iris					
